country,newCases,date
World,1700000,2021/12/29
High income,1490000,2021/12/29
World,1310000,2021/12/27
World,1300000,2021/12/28
High income,1150000,2021/12/27
High income,1100000,2021/12/28
World,990848,2021/12/23
Europe,912775,2021/12/29
World,901985,2021/12/22
World,826850,2021/12/24
High income,804958,2021/12/23
World,790695,2021/12/21
World,752691,2021/12/20
World,741393,2021/12/16
World,738781,2021/12/15
World,728670,2021/12/17
High income,724046,2021/12/22
Europe,722350,2021/12/28
European Union,671799,2021/12/29
High income,639752,2021/12/24
World,635072,2021/12/25
High income,625830,2021/12/21
High income,613170,2021/12/20
Europe,593911,2021/12/27
World,592356,2021/12/26
North America,587858,2021/12/29
World,575549,2021/12/18
High income,570491,2021/12/17
North America,566698,2021/12/27
High income,557664,2021/12/15
United States,544329,2021/12/27
High income,543357,2021/12/16
European Union,535192,2021/12/28
Europe,530346,2021/12/23
United States,497002,2021/12/29
High income,492278,2021/12/25
Europe,484528,2021/12/22
World,477940,2021/12/19
Europe,456340,2021/12/21
High income,439807,2021/12/26
Europe,438279,2021/12/25
Europe,436155,2021/12/15
High income,426255,2021/12/18
Europe,423244,2021/12/16
European Union,414260,2021/12/27
Europe,410769,2021/12/24
Europe,395818,2021/12/17
North America,380133,2021/12/28
Europe,373580,2021/12/20
Europe,369304,2021/12/18
United States,354683,2021/12/28
European Union,353501,2021/12/23
High income,333207,2021/12/19
European Union,325406,2021/12/22
European Union,316163,2021/12/21
European Union,299447,2021/12/15
North America,298789,2021/12/23
European Union,280103,2021/12/25
European Union,276039,2021/12/16
United States,269233,2021/12/23
North America,263448,2021/12/22
North America,262516,2021/12/20
Europe,260493,2021/12/19
Europe,258375,2021/12/26
North America,253092,2021/12/24
European Union,249851,2021/12/24
European Union,246381,2021/12/17
United States,242086,2021/12/20
United States,241681,2021/12/22
European Union,237655,2021/12/18
European Union,223374,2021/12/20
United States,219462,2021/12/24
Spain,214619,2021/12/27
France,208099,2021/12/29
North America,204908,2021/12/17
North America,193652,2021/12/21
North America,193160,2021/12/26
United States,192903,2021/12/17
United Kingdom,184475,2021/12/29
United States,182566,2021/12/26
France,179808,2021/12/28
United States,178982,2021/12/21
North America,157648,2021/12/15
North America,153890,2021/12/16
United States,144097,2021/12/15
United States,141707,2021/12/16
European Union,140806,2021/12/19
United Kingdom,138025,2021/12/28
Upper middle income,135988,2021/12/28
Upper middle income,123331,2021/12/15
Upper middle income,123132,2021/12/29
United Kingdom,122760,2021/12/23
Upper middle income,122137,2021/12/16
United Kingdom,121861,2021/12/25
United Kingdom,121810,2021/12/24
United Kingdom,118945,2021/12/26
Upper middle income,118929,2021/12/23
Upper middle income,117783,2021/12/24
Upper middle income,113316,2021/12/22
United Kingdom,107699,2021/12/27
Upper middle income,107639,2021/12/27
European Union,107488,2021/12/26
United Kingdom,105626,2021/12/22
Upper middle income,105333,2021/12/26
Upper middle income,105225,2021/12/17
Upper middle income,105205,2021/12/21
France,104611,2021/12/25
Spain,100760,2021/12/29
Upper middle income,100097,2021/12/18
Spain,99671,2021/12/28
