country,population
World,NaN
USA,"2,463,115"
India,"488,281"
Brazil,"296,858"
UK,"6,024,150"
France,"2,882,750"
Russia,"1,655,152"
Turkey,"1,402,186"
Germany,"1,064,549"
Spain,"1,415,368"
Italy,"2,374,048"
Iran,"493,868"
Argentina,"621,462"
Colombia,"578,135"
Indonesia,"230,882"
Poland,"727,478"
Mexico,"95,177"
Ukraine,"389,178"
South Africa,"353,174"
Netherlands,"1,227,742"
Philippines,"226,985"
Malaysia,"1,258,865"
Czechia,"4,397,305"
Canada,"1,380,413"
Peru,"651,425"
Thailand,"246,500"
Belgium,"2,359,466"
Iraq,"405,598"
Romania,"904,340"
Chile,"1,422,106"
Vietnam,"762,794"
Japan,"234,287"
Bangladesh,"69,188"
Portugal,"2,683,016"
Israel,"4,262,711"
Switzerland,"1,656,045"
Sweden,"1,497,747"
Greece,"4,699,841"
Serbia,"840,274"
Pakistan,"103,841"
Austria,"13,720,588"
Hungary,"959,041"
Jordan,"1,320,800"
Kazakhstan,"605,539"
Morocco,"290,350"
Cuba,"1,036,674"
Georgia,"3,281,806"
Ireland,"1,986,691"
Slovakia,"939,018"
Denmark,"18,587,466"
Nepal,"163,329"
UAE,"11,222,250"
Bulgaria,"1,096,271"
Lebanon,"707,382"
Tunisia,"284,838"
Croatia,"932,767"
Belarus,"1,173,865"
S. Korea,"307,857"
Bolivia,"221,100"
Guatemala,"178,710"
Azerbaijan,"573,093"
Australia,"2,160,296"
Sri Lanka,"265,752"
Costa Rica,"583,929"
Saudi Arabia,"943,660"
Ecuador,"120,313"
Myanmar,"110,562"
Lithuania,"2,496,431"
Panama,"1,032,521"
Slovenia,"1,006,670"
Paraguay,"282,835"
Venezuela,"118,633"
Palestine,"542,856"
Ethiopia,"34,807"
Dominican Republic,"236,040"
Kuwait,"1,385,215"
Uruguay,"1,278,799"
Norway,"1,703,125"
Mongolia,"1,200,193"
Libya,"291,993"
Egypt,"35,094"
Honduras,"112,550"
Moldova,"603,417"
Armenia,"870,487"
Oman,"4,715,084"
Kenya,"55,026"
Bosnia and Herzegovina,"459,647"
Bahrain,"4,533,198"
Finland,"1,574,712"
Singapore,"3,564,155"
Latvia,"3,035,549"
Zambia,"156,379"
Qatar,"1,138,864"
Estonia,"1,925,533"
Nigeria,"17,880"
North Macedonia,"777,285"
Botswana,"836,475"
Algeria,"5,125"
Zimbabwe,"122,741"
Albania,"520,352"
Uzbekistan,"40,290"
Mozambique,"34,261"
Kyrgyzstan,"285,236"
Cyprus,"7,764,257"
Montenegro,"1,592,178"
Afghanistan,"20,524"
Namibia,"335,993"
Ghana,"66,716"
Uganda,"45,330"
El Salvador,"234,146"
Cambodia,"162,287"
Rwanda,"302,992"
