country,totalCases,date
World,284560000,2021/12/29
World,282860000,2021/12/28
World,281560000,2021/12/27
World,280240000,2021/12/26
World,279650000,2021/12/25
World,279020000,2021/12/24
World,278190000,2021/12/23
World,277200000,2021/12/22
World,276300000,2021/12/21
World,275510000,2021/12/20
World,274750000,2021/12/19
World,274280000,2021/12/18
World,273700000,2021/12/17
World,272970000,2021/12/16
World,272230000,2021/12/15
High income,131990000,2021/12/29
High income,130500000,2021/12/28
High income,129400000,2021/12/27
High income,128250000,2021/12/26
High income,127810000,2021/12/25
High income,127320000,2021/12/24
High income,126680000,2021/12/23
High income,125870000,2021/12/22
High income,125150000,2021/12/21
High income,124520000,2021/12/20
High income,123910000,2021/12/19
High income,123580000,2021/12/18
High income,123150000,2021/12/17
High income,122580000,2021/12/16
High income,122040000,2021/12/15
Europe,86770000,2021/12/29
Europe,85850000,2021/12/28
Upper middle income,85850000,2021/12/29
Upper middle income,85720000,2021/12/28
Upper middle income,85590000,2021/12/27
Upper middle income,85480000,2021/12/26
Upper middle income,85370000,2021/12/25
Upper middle income,85290000,2021/12/24
Upper middle income,85170000,2021/12/23
Europe,85130000,2021/12/27
Upper middle income,85050000,2021/12/22
Upper middle income,84940000,2021/12/21
Upper middle income,84830000,2021/12/20
Upper middle income,84740000,2021/12/19
Upper middle income,84650000,2021/12/18
Upper middle income,84550000,2021/12/17
Europe,84540000,2021/12/26
Upper middle income,84440000,2021/12/16
Asia,84340000,2021/12/29
Upper middle income,84320000,2021/12/15
Europe,84280000,2021/12/25
Asia,84280000,2021/12/28
Asia,84190000,2021/12/27
Asia,84120000,2021/12/26
Asia,84030000,2021/12/25
Asia,83980000,2021/12/24
Asia,83910000,2021/12/23
Asia,83840000,2021/12/22
Europe,83840000,2021/12/24
Asia,83760000,2021/12/21
Asia,83690000,2021/12/20
Asia,83620000,2021/12/19
Asia,83550000,2021/12/18
Asia,83480000,2021/12/17
Europe,83430000,2021/12/23
Asia,83420000,2021/12/16
Asia,83320000,2021/12/15
Europe,82900000,2021/12/22
Europe,82420000,2021/12/21
Europe,81960000,2021/12/20
Europe,81590000,2021/12/19
Europe,81320000,2021/12/18
Europe,80960000,2021/12/17
Europe,80560000,2021/12/16
Europe,80140000,2021/12/15
Lower middle income,65190000,2021/12/29
Lower middle income,65120000,2021/12/28
Lower middle income,65060000,2021/12/27
Lower middle income,65020000,2021/12/26
Lower middle income,64980000,2021/12/25
Lower middle income,64930000,2021/12/24
Lower middle income,64880000,2021/12/23
Lower middle income,64820000,2021/12/22
Lower middle income,64770000,2021/12/21
Lower middle income,64710000,2021/12/20
Lower middle income,64670000,2021/12/19
Lower middle income,64630000,2021/12/18
Lower middle income,64580000,2021/12/17
Lower middle income,64530000,2021/12/16
