country,totalDeaths,date
Greenland,NaN,2021/12/15
Greenland,NaN,2021/12/16
Greenland,NaN,2021/12/17
Greenland,NaN,2021/12/18
Greenland,NaN,2021/12/19
Greenland,NaN,2021/12/20
Greenland,NaN,2021/12/21
Greenland,NaN,2021/12/22
Greenland,NaN,2021/12/23
Greenland,NaN,2021/12/24
World,5420000,2021/12/29
World,5410000,2021/12/27
World,5410000,2021/12/28
World,5400000,2021/12/25
World,5400000,2021/12/26
World,5390000,2021/12/23
World,5390000,2021/12/24
World,5380000,2021/12/22
World,5370000,2021/12/21
World,5360000,2021/12/19
World,5360000,2021/12/20
World,5350000,2021/12/17
World,5350000,2021/12/18
World,5340000,2021/12/16
World,5330000,2021/12/15
Upper middle income,2260000,2021/12/28
Upper middle income,2260000,2021/12/29
Upper middle income,2250000,2021/12/23
Upper middle income,2250000,2021/12/24
Upper middle income,2250000,2021/12/25
Upper middle income,2250000,2021/12/26
Upper middle income,2250000,2021/12/27
Upper middle income,2240000,2021/12/18
Upper middle income,2240000,2021/12/19
Upper middle income,2240000,2021/12/20
Upper middle income,2240000,2021/12/21
Upper middle income,2240000,2021/12/22
Upper middle income,2230000,2021/12/15
Upper middle income,2230000,2021/12/16
Upper middle income,2230000,2021/12/17
High income,1930000,2021/12/28
High income,1930000,2021/12/29
High income,1920000,2021/12/23
High income,1920000,2021/12/24
High income,1920000,2021/12/25
High income,1920000,2021/12/26
High income,1920000,2021/12/27
High income,1910000,2021/12/21
High income,1910000,2021/12/22
High income,1900000,2021/12/18
High income,1900000,2021/12/19
High income,1900000,2021/12/20
High income,1890000,2021/12/15
High income,1890000,2021/12/16
High income,1890000,2021/12/17
Europe,1520000,2021/12/27
Europe,1520000,2021/12/28
Europe,1520000,2021/12/29
Europe,1510000,2021/12/24
Europe,1510000,2021/12/25
Europe,1510000,2021/12/26
Europe,1500000,2021/12/21
Europe,1500000,2021/12/22
Europe,1500000,2021/12/23
Europe,1490000,2021/12/18
Europe,1490000,2021/12/19
Europe,1490000,2021/12/20
Europe,1480000,2021/12/15
Europe,1480000,2021/12/16
Europe,1480000,2021/12/17
Asia,1260000,2021/12/28
Asia,1260000,2021/12/29
Asia,1250000,2021/12/19
Asia,1250000,2021/12/20
Asia,1250000,2021/12/21
Asia,1250000,2021/12/22
Asia,1250000,2021/12/23
Asia,1250000,2021/12/24
Asia,1250000,2021/12/25
Asia,1250000,2021/12/26
Asia,1250000,2021/12/27
Asia,1240000,2021/12/15
Asia,1240000,2021/12/16
Asia,1240000,2021/12/17
Asia,1240000,2021/12/18
North America,1220000,2021/12/28
North America,1220000,2021/12/29
North America,1210000,2021/12/21
North America,1210000,2021/12/22
North America,1210000,2021/12/23
North America,1210000,2021/12/24
North America,1210000,2021/12/25
North America,1210000,2021/12/26
North America,1210000,2021/12/27
North America,1200000,2021/12/15
North America,1200000,2021/12/16
North America,1200000,2021/12/17
North America,1200000,2021/12/18
North America,1200000,2021/12/19
North America,1200000,2021/12/20
South America,1190000,2021/12/15
South America,1190000,2021/12/16
South America,1190000,2021/12/17
South America,1190000,2021/12/18
South America,1190000,2021/12/19
South America,1190000,2021/12/20
South America,1190000,2021/12/21
Lower middle income,1190000,2021/12/22
South America,1190000,2021/12/22
Lower middle income,1190000,2021/12/23
South America,1190000,2021/12/23
Lower middle income,1190000,2021/12/24
South America,1190000,2021/12/24
Lower middle income,1190000,2021/12/25
South America,1190000,2021/12/25
Lower middle income,1190000,2021/12/26
South America,1190000,2021/12/26
Lower middle income,1190000,2021/12/27
South America,1190000,2021/12/27
Lower middle income,1190000,2021/12/28
South America,1190000,2021/12/28
Lower middle income,1190000,2021/12/29
South America,1190000,2021/12/29
Lower middle income,1180000,2021/12/15
Lower middle income,1180000,2021/12/16
Lower middle income,1180000,2021/12/17
Lower middle income,1180000,2021/12/18
Lower middle income,1180000,2021/12/19
Lower middle income,1180000,2021/12/20
Lower middle income,1180000,2021/12/21
European Union,900537,2021/12/29
European Union,897937,2021/12/28
European Union,895840,2021/12/27
European Union,893979,2021/12/26
European Union,893344,2021/12/25
European Union,892029,2021/12/24
European Union,890517,2021/12/23
European Union,888434,2021/12/22
European Union,886167,2021/12/21
European Union,883918,2021/12/20
European Union,881885,2021/12/19
European Union,880994,2021/12/18
European Union,879119,2021/12/17
European Union,877181,2021/12/16
European Union,874915,2021/12/15
United States,823559,2021/12/29
United States,821375,2021/12/28
United States,819096,2021/12/27
United States,817329,2021/12/26
United States,817239,2021/12/25
United States,817132,2021/12/24
United States,816546,2021/12/23
United States,813170,2021/12/22
United States,811130,2021/12/21
United States,809259,2021/12/20
United States,807779,2021/12/19
United States,807577,2021/12/18
United States,807014,2021/12/17
United States,805224,2021/12/16
United States,804035,2021/12/15
Brazil,619095,2021/12/29
Brazil,618978,2021/12/28
Brazil,618797,2021/12/27
Brazil,618732,2021/12/26
Brazil,618686,2021/12/25
Brazil,618655,2021/12/24
Brazil,618492,2021/12/23
Brazil,618366,2021/12/22
Brazil,618220,2021/12/21
Brazil,618149,2021/12/20
Brazil,618066,2021/12/19
Brazil,618011,2021/12/18
Brazil,617873,2021/12/17
Brazil,617675,2021/12/16
Brazil,617552,2021/12/15
India,480860,2021/12/29
India,480592,2021/12/28
India,480290,2021/12/27
India,479997,2021/12/26
India,479682,2021/12/25
India,479520,2021/12/24
India,479133,2021/12/23
India,478759,2021/12/22
India,478325,2021/12/21
India,478007,2021/12/20
India,477554,2021/12/19
India,477158,2021/12/18
India,476869,2021/12/16
India,476869,2021/12/17
India,476478,2021/12/15
Russia,300886,2021/12/29
Russia,299983,2021/12/28
Russia,299077,2021/12/27
Mexico,298944,2021/12/29
Mexico,298819,2021/12/28
Mexico,298777,2021/12/27
Mexico,298759,2021/12/25
Mexico,298759,2021/12/26
Mexico,298670,2021/12/24
Mexico,298359,2021/12/23
Russia,298165,2021/12/26
Mexico,298161,2021/12/22
Mexico,297916,2021/12/20
Mexico,297916,2021/12/21
Mexico,297835,2021/12/19
Mexico,297568,2021/12/18
Mexico,297356,2021/12/16
Mexico,297356,2021/12/17
Russia,297223,2021/12/25
Mexico,297188,2021/12/15
Russia,296268,2021/12/24
Russia,295296,2021/12/23
Russia,294322,2021/12/22
Russia,293329,2021/12/21
Russia,292331,2021/12/20
Russia,291336,2021/12/19
Russia,290340,2021/12/18
Russia,289292,2021/12/17
Russia,288240,2021/12/16
Russia,287135,2021/12/15
Africa,227365,2021/12/29
Africa,227129,2021/12/28
Africa,226957,2021/12/27
Africa,226708,2021/12/26
Africa,226561,2021/12/25
Africa,226392,2021/12/24
Africa,226202,2021/12/23
Africa,226010,2021/12/22
Africa,225780,2021/12/21
Africa,225608,2021/12/20
Africa,225329,2021/12/19
Africa,225236,2021/12/18
Africa,225102,2021/12/17
Africa,224972,2021/12/16
Africa,224830,2021/12/15
Peru,202524,2021/12/27
Peru,202524,2021/12/28
Peru,202524,2021/12/29
Peru,202488,2021/12/25
Peru,202488,2021/12/26
Peru,202424,2021/12/23
Peru,202424,2021/12/24
Peru,202375,2021/12/22
Peru,202338,2021/12/21
Peru,202225,2021/12/19
Peru,202225,2021/12/20
Peru,202154,2021/12/18
Peru,202076,2021/12/17
Peru,201992,2021/12/16
Peru,201902,2021/12/15
United Kingdom,148202,2021/12/29
United Kingdom,148144,2021/12/28
United Kingdom,148125,2021/12/27
United Kingdom,147982,2021/12/26
United Kingdom,147979,2021/12/25
United Kingdom,147969,2021/12/24
United Kingdom,147832,2021/12/23
United Kingdom,147685,2021/12/22
United Kingdom,147544,2021/12/21
United Kingdom,147371,2021/12/20
United Kingdom,147328,2021/12/19
United Kingdom,147283,2021/12/18
United Kingdom,147158,2021/12/17
United Kingdom,147045,2021/12/16
United Kingdom,146898,2021/12/15
Indonesia,144081,2021/12/29
Indonesia,144071,2021/12/28
Indonesia,144063,2021/12/27
Indonesia,144053,2021/12/25
Indonesia,144053,2021/12/26
Indonesia,144047,2021/12/24
Indonesia,144042,2021/12/23
Indonesia,144034,2021/12/22
Indonesia,144024,2021/12/21
Indonesia,144013,2021/12/20
Indonesia,144002,2021/12/19
Indonesia,143998,2021/12/18
Indonesia,143986,2021/12/17
Indonesia,143979,2021/12/16
Indonesia,143969,2021/12/15
Italy,137091,2021/12/29
Italy,136955,2021/12/28
Italy,136753,2021/12/27
Italy,136611,2021/12/26
Italy,136530,2021/12/25
Italy,136386,2021/12/24
Italy,136245,2021/12/23
Italy,136077,2021/12/22
Italy,135931,2021/12/21
Italy,135778,2021/12/20
Italy,135641,2021/12/19
Italy,135544,2021/12/18
Italy,135421,2021/12/17
Italy,135301,2021/12/16
Italy,135178,2021/12/15
Iran,131527,2021/12/29
Iran,131474,2021/12/28
Iran,131434,2021/12/27
Iran,131400,2021/12/26
Iran,131348,2021/12/25
Iran,131306,2021/12/24
Iran,131262,2021/12/23
Iran,131211,2021/12/22
Iran,131167,2021/12/21
Iran,131124,2021/12/20
Iran,131083,2021/12/19
Iran,131033,2021/12/18
Iran,130992,2021/12/17
Iran,130946,2021/12/16
Iran,130883,2021/12/15
Colombia,129866,2021/12/29
Colombia,129833,2021/12/28
Colombia,129798,2021/12/27
Colombia,129761,2021/12/26
